date,url,duration,resolution,video_itag,video_contentlength,video_bitrate,audio_itag,audio_contentlength,audio_bitrate
2024-07-19,https://www.youtube.com/watch?v=ohoi07B4aco,666066,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,158195744/96272833/91456575/42405587/49921946/51966513/22895444/29732138/28846518/14831316/19857164/16000826/8026916/11181541/8025208/4871041/7118020/4947611,4447312/2530695/2292911/1238057/1446721/1264089/684599/753100/696208/450694/412655/335214/217616/223105/175316/104532/97174/81278,140/140/249/249/250/250/251/251,10781423/10781423/3925344/3956901/4806105/4843034/8866514/8929089,130762/130767/53285/53725/67397/66537/130147/129604
2024-07-19,https://www.youtube.com/watch?v=HTlTsU3NGhg,67359,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/136/247/135/244/134/243/133/242/160/278,18348974/8934468/10646666/5529398/5736305/3135168/2683591/1954460/1477217/1177280/680912/676738,3975223/1480772/2240501/866800/1190511/526462/504709/307925/263374/183230/116014/105007,140/140/249/249/250/250/251/251,1091699/1091699/422321/424632/545051/546017/1062567/1063599,130412/130416/51376/51509/70184/70308/137063/137393
2024-07-19,https://www.youtube.com/watch?v=jSraSIAC5YM,837670,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,104240578/95982036/69911316/27785388/34787109/38214271/14454195/21527803/20496081/9481954/14743876/11744146/5290848/8037063/6335716/3316492/7799170/4413072,3362687/2428242/1639259/972576/1243985/1091039/539577/721150/585816/365016/403774/308227/201435/227961/174697/97574/100420/83889,140/140/249/249/250/250/251/251,13558483/13558483/5140304/5158991/6310489/6583889/11411596/11852329,130868/130868/51443/51748/65912/68896/130065/130076
2024-07-19,https://www.youtube.com/watch?v=fqPi52TPMR0,571399,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,125563818/72144089/71625849/32380750/35730623/41110372/17186855/21726511/22985203/10967053/14832174/13054600/6080024/8499404/6423328/3764061/6049794/4134449,3633192/2531790/2287337/1024519/1419959/1251840/575337/750290/675001/386584/410511/333010/217123/227294/167501/109478/97027/82301,140/140/249/249/250/250/251/251,9249387/9249387/3410400/3482108/4465266/4550090/8438349/8539640,130933/130986/55424/59014/71092/73494/137630/138274
2024-07-19,https://www.youtube.com/watch?v=PXeZ2xfeZ_w,832164,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,102511031/94265455/69181207/27420360/34722513/38048534/14202748/21445923/20375464/9315989/14625569/11651824/5200699/7952888/6262654/3233888/7588156/4391636,3322197/2427370/1791925/958167/1245349/1147956/537774/712154/665353/362589/403569/301317/200612/223866/179220/100038/97195/84733,140/140/249/249/250/250/251/251,13469485/13469485/5128501/5145575/6262714/6493290/11331918/11705229,131067/131071/51189/51357/65364/65731/130891/131006
2024-07-19,https://www.youtube.com/watch?v=AC3_w2WMatM,798233,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,182168317/110864996/104877136/47472746/55483460/58496015/25113664/33139403/32208749/16006216/22250775/17968182/8756586/12616320/9052011/5351386/8696742/5728004,4496682/2532482/2644034/1673046/1505522/1254412/834793/750312/680350/488969/411280/326125/213689/228210/178385/106221/97481/85678,140/140/249/249/250/250/251/251,12920387/12920387/4739450/4790387/5949656/6002731/11467718/11550697,131204/131200/66220/65905/85142/84688/159568/159113
2024-07-19,https://www.youtube.com/watch?v=k8K-bOyCZ4A,73106,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/136/247/135/244/134/243/133/242/160/278,24111781/11510714/13531822/7161616/7045730/3951038/3869216/2337845/2003858/1441255/918041/754238,4402733/2253158/2185417/1303726/1101862/726770/599768/401872/286384/237913/132801/112928,140/140/249/249/250/250/251/251,1184944/1184944/456224/460889/599135/600028/1173138/1174391,130430/130425/51992/52132/69243/69365/136589/136669
2024-07-19,https://www.youtube.com/watch?v=qztpL2zzmGo,741615,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,87791565/83119428/63910674/25753301/49218587/37253080/15605741/27261675/19895578/9674278/17414966/12796027/5208992/7838411/6475407/2557390/5856511/3709794,3355452/2948115/2175788/1008630/1865266/1315071/682091/973090/738640/462678/515671/440817/245099/242591/204754/110673/106806/91785,140/140/249/249/250/250/251/251,12003916/12003916/4564285/4586122/5586350/5827268/10123560/10502159,130889/130863/51130/51351/65164/67774/130745/130819
2024-07-19,https://www.youtube.com/watch?v=94YupzWVnvQ,767833,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,240151030/146083871/134737033/68143201/77229461/72866594/37276110/45866997/40686059/24277607/28923608/22800445/12725798/16345474/11371331/7235835/8736192/6329097,4419325/2598315/2930680/1593034/1519420/1342930/914248/763021/736765/592813/412458/387162/232724/226472/208287/106535/97821/100496,140/140/249/249/250/250/251/251,12428484/12428484/4553624/4641117/5769344/5943359/10983525/11160543,130914/130915/56287/55894/72252/71641/137196/136935
2024-07-19,https://www.youtube.com/watch?v=nrj9Zy_nGJM,686060,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,84276701/78751056/61203786/24917283/46865820/35651258/15190870/25944324/19133847/9390856/16666915/12355574/5012813/7682546/6294059/2470251/5455191/3596841,3369765/2949511/2147068/1009614/1867809/1292426/690162/944914/737555/463892/514879/439960/244941/239965/206746/110849/108521/91680,140/140/249/249/250/250/251/251,11104978/11104978/4221441/4237739/5185974/5395319/9413929/9750182,130724/130724/51920/52280/67795/69164/130128/132488
